date_time,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance 280-440,Global Horizontal UV Irradiance 295-385,pv_new,l1,l2,l3,h1,h2,h3,dim_1,pv,dim_l1,dim_l2,dim_l3,dim_l4,dim_l5,dim_l6,dim_l7,dim_h1,dim_h2,dim_h3,dim_h4,dim_h5,dim_h6,dim_h7
2019/5/19 14:30,0.858744395,0.286591607,0.60861244,0.567307692,0.933469806,0.900478469,0.5,0.545454545,0.113389626,0,1,0.513513514,0.378378378,0.722689076,0.533077102,0.195744681,0.2,0.602741556,0.602389748,0.569600629,0.777586207,4.05,6.12,0.239,-0.608,0.214,0.531609163,16.63817395,-0.070869937,-0.195851909,-0.307522785,-0.420257824,-0.53517142,-0.646861452,-0.74521985,0.102527468,-0.088164044,0.016903321,0.005153029,-0.006445645,0.003855052,-0.00173639
2019/5/19 15:00,0.739910314,0.437052201,0.667942584,0.557692308,0.920163767,0.852631579,0.25,0.55,0.163852031,0,1,0.513513514,0.378378378,0.722689076,0.541695784,0.191489362,0.2,0.657011878,0.656352379,0.888489926,0.877586207,4.1,6.14,-1.37,0.382,0.644,0.544443254,26.17224987,-0.090744906,-0.048814975,0.030849777,0.164428597,0.378430613,0.708955772,1.206680929,0.004297401,-0.119035655,0.095396109,-0.041363103,0.013642997,-0.002602921,-0.000649735
2019/5/19 15:30,0.751121076,0.145342886,0.43062201,0.552884615,0.900716479,0.79138756,0.5,0.55,0.218837957,0,1,0.513513514,0.405405405,0.725490196,0.55078034,0.182978723,0.2,0.419575531,0.418898262,0.776186687,0.720689655,3.24,4.46,0.952,0.722,0.284,0.501687062,22.81463451,0.248957174,0.444591146,0.705309125,1.071357462,1.587312714,2.314743077,3.342347334,-0.01574048,0.051006865,0.004515845,-0.02392701,0.023067947,-0.014215771,0.006768744
2019/5/19 16:00,0.430493274,0.012282497,0.192344498,0.543269231,0.875127943,0.718660287,0.5,0.563636364,0.276437475,0,1,0.513513514,0.405405405,0.725490196,0.573841137,0.174468085,0.2,0.18502863,0.184570384,0.850035079,0.352931034,0.0725,0.84,0.398,-0.16,-0.553,0.4462302,25.02253605,0.646913693,0.895261672,1.25132004,1.748280972,2.441600394,3.4136334,4.783015112,-0.021461497,0.094086844,-0.139116318,0.089383396,-0.033260212,0.006070072,0.002874718
2019/5/19 16:30,0.358744395,0.005117707,0.155980861,0.519230769,0.847492323,0.638277512,0.5,0.563636364,0.335343788,0,1,0.513513514,0.405405405,0.725490196,0.573841137,0.174468085,0.2,0.147529524,0.146982538,0.086638254,0.15,-2,-2.62,-0.35,-0.214,0.144,0.394884619,2.198680433,0.762357812,1.041888911,1.42990105,1.973000578,2.738450975,3.820529134,5.351155326,-0.006795224,0.019670973,-0.081185335,0.099198345,-0.071697294,0.042519386,-0.020354721
2019/5/19 17:00,0.307174888,0.012282497,0.137799043,0.495192308,0.80962129,0.549282297,0.5,0.581818182,0.39495376,0,1,0.486486486,0.405405405,0.731092437,0.618099231,0.153191489,0.2,0.127447873,0.126753702,0.108041798,0.181034483,-2.46,-3.58,-0.109,-0.0034,-0.139,0.387232134,2.838598476,0.70200068,0.976721211,1.36161287,1.908195675,2.683332453,3.778761153,5.321405939,0.003602114,-0.024673828,0.071379307,-0.069548158,0.031924963,0.003291497,-0.015125768
2019/5/19 17:30,0.233183857,0.012282497,0.105263158,0.461538462,0.7604913,0.453588517,0.5,0.581818182,0.454664254,0,1,0.459459459,0.405405405,0.733893557,0.633473096,0.140425532,0.2,0.094520616,0.093761526,0.218724983,0.165517241,-2.21,-3.57,0.113,0.0498,0.0485,0.37712472,6.147777845,0.620480904,0.877760797,1.249036967,1.77451379,2.512637996,3.545406712,4.987431297,0.019017326,-0.027781968,0.097740479,-0.170056267,0.155180744,-0.094254732,0.045198241
2019/5/19 18:00,0.183856502,0.001023541,0.0784689,0.418269231,0.69703173,0.355023923,0.5,0.595454545,0.514173703,0,1,0.432432432,0.432432432,0.736694678,0.667132541,0.127659574,0.2,0.067768384,0.066952795,0.117299923,0.136206897,-2.8,-3.84,0.114,-0.099,-0.118,0.359583742,3.115395657,0.570436066,0.819411441,1.165567809,1.646706624,2.316363685,3.250384005,4.556664624,-0.028435744,-0.002385083,0.021822919,-0.053850669,0.068838587,-0.066680402,0.059354019
2019/5/19 18:30,0.087443946,0.004094166,0.038277512,0.360576923,0.616171955,0.257416268,0.5,0.595454545,0.573080016,0,1,0.378378378,0.432432432,0.742296919,0.683438155,0.114893617,0.2,0.031463893,0.030885662,0.059656627,0.087931034,-3.15,-4.53,-0.121,0.1,0.0534,0.335298051,1.391990209,0.552660442,0.77774155,1.088717493,1.523689936,2.136014391,3.002351754,4.233130006,0.003782289,0.013806758,-0.033862733,0.09893554,-0.146899097,0.121580143,-0.059097574
2019/5/19 19:00,0.130044843,0.020470829,0.060287081,0.288461538,0.503582395,0.163636364,0.5,0.618181818,0.631081624,0.86,1,0.337837838,0.432432432,0.74789916,0.73293734,0.09787234,0.2,0.047115059,0.045804824,0.040612072,0.053448276,-3.61,-5.15,-0.0458,0.00287,0.0131,0.372912878,0.822600646,0.524984928,0.729273829,1.022617714,1.443111654,2.046904236,2.914588347,4.161330165,0.011014921,-0.005173217,-0.027107145,0.106618312,-0.194793607,0.204654699,-0.155417257
